crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Aug 22, 2026 @ 19:36:55.387",19773fbc4a7c3e8a607411c076bd6809,https://www.highsnobiety.com/l/sneakers/,Highsnobiety Sneakers   | Highsnobiety,Stay ahead of the curve with our selection of designer sneakers in all their styles & colorways from our favorite and best sneaker brands in the industry.,,2026-08-22T12:50:00.000Z,,https://www.highsnobiety.com/static-assets/assets/images/logo-800x800.png
"Aug 22, 2026 @ 19:36:55.411",19773fbc4a7c3e8a607411c076bd6809,https://www.highsnobiety.com/l/sneakers/,Highsnobiety Sneakers   | Highsnobiety,Stay ahead of the curve with our selection of designer sneakers in all their styles & colorways from our favorite and best sneaker brands in the industry.,,2026-08-22T12:50:00.000Z,,https://www.highsnobiety.com/static-assets/assets/images/logo-800x800.png
"Aug 22, 2026 @ 19:36:55.419",19773fbc4a7c3e8a607411c076bd6809,https://www.highsnobiety.com/l/sneakers/,Highsnobiety Sneakers   | Highsnobiety,Stay ahead of the curve with our selection of designer sneakers in all their styles & colorways from our favorite and best sneaker brands in the industry.,,2026-08-22T12:50:00.000Z,,https://www.highsnobiety.com/static-assets/assets/images/logo-800x800.png
"Aug 22, 2026 @ 19:36:55.435",19773fbc4a7c3e8a607411c076bd6809,https://www.highsnobiety.com/l/sneakers/,Highsnobiety Sneakers   | Highsnobiety,Stay ahead of the curve with our selection of designer sneakers in all their styles & colorways from our favorite and best sneaker brands in the industry.,,2026-08-22T12:50:00.000Z,,https://www.highsnobiety.com/static-assets/assets/images/logo-800x800.png
"Aug 22, 2026 @ 19:36:55.435",19773fbc4a7c3e8a607411c076bd6809,https://www.highsnobiety.com/l/sneakers/,Highsnobiety Sneakers   | Highsnobiety,Stay ahead of the curve with our selection of designer sneakers in all their styles & colorways from our favorite and best sneaker brands in the industry.,,2026-08-22T12:50:00.000Z,,https://www.highsnobiety.com/static-assets/assets/images/logo-800x800.png
"Aug 22, 2026 @ 19:36:55.460",19773fbc4a7c3e8a607411c076bd6809,https://www.highsnobiety.com/l/sneakers/,Highsnobiety Sneakers   | Highsnobiety,Stay ahead of the curve with our selection of designer sneakers in all their styles & colorways from our favorite and best sneaker brands in the industry.,,2026-08-22T12:50:00.000Z,,https://www.highsnobiety.com/static-assets/assets/images/logo-800x800.png
"Aug 22, 2026 @ 19:36:55.477",19773fbc4a7c3e8a607411c076bd6809,https://www.highsnobiety.com/l/sneakers/,Highsnobiety Sneakers   | Highsnobiety,Stay ahead of the curve with our selection of designer sneakers in all their styles & colorways from our favorite and best sneaker brands in the industry.,,2026-08-22T12:50:00.000Z,,https://www.highsnobiety.com/static-assets/assets/images/logo-800x800.png
"Aug 22, 2026 @ 19:36:55.506",19773fbc4a7c3e8a607411c076bd6809,https://www.highsnobiety.com/l/sneakers/,Highsnobiety Sneakers   | Highsnobiety,Stay ahead of the curve with our selection of designer sneakers in all their styles & colorways from our favorite and best sneaker brands in the industry.,,2026-08-22T12:50:00.000Z,,https://www.highsnobiety.com/static-assets/assets/images/logo-800x800.png
"Aug 22, 2026 @ 19:36:55.522",19773fbc4a7c3e8a607411c076bd6809,https://www.highsnobiety.com/l/sneakers/,Highsnobiety Sneakers   | Highsnobiety,Stay ahead of the curve with our selection of designer sneakers in all their styles & colorways from our favorite and best sneaker brands in the industry.,,2026-08-22T12:50:00.000Z,,https://www.highsnobiety.com/static-assets/assets/images/logo-800x800.png
"Aug 22, 2026 @ 19:36:55.531",19773fbc4a7c3e8a607411c076bd6809,https://www.highsnobiety.com/l/sneakers/,Highsnobiety Sneakers   | Highsnobiety,Stay ahead of the curve with our selection of designer sneakers in all their styles & colorways from our favorite and best sneaker brands in the industry.,,2026-08-22T12:50:00.000Z,,https://www.highsnobiety.com/static-assets/assets/images/logo-800x800.png
